FitnessType,https://fandemic.co/fitnesstype,12843,1201088,,,info@fitnesstype.com
JuggernautFitnessTV,https://fandemic.co/juggernautfitnesstv,89387,31845530,https://www.facebook.com/JuggernautFitness2,,
Fitness Education Seminars,https://fandemic.co/fitness-education-seminars,18873,3147368,,,helpdesk@fitnesseducationseminars.com
FaZe Fitness,https://fandemic.co/faze-fitness,127882,4329088,https://www.facebook.com/fazefitnessoffcial,https://instagram.com/fazefitness,fitness@fazeclan.net
Aladdin Meets Fitness,https://fandemic.co/aladdin-meets-fitness,11522,1145116,,,
SaschaFitness TV,https://fandemic.co/saschafitness-tv,138257,1319181,,,
FitnessBienEtre,https://fandemic.co/fitnessbienetre,144272,15627303,,,
InciteFitness,https://fandemic.co/incitefitness,19687,4166080,,http://www.instagram.com/incitefitness,
Fitness Attitude,https://fandemic.co/fitness-attitude,38565,1108076,,,healthylifewithlu@gmail.com
Geek To Freak Fitness & Lawn Care,https://fandemic.co/geek-to-freak-fitness-&-lawn-care,43760,2663181,,https://instagram.com/geek2freakfit,
KPOPX FITNESS OFFICIAL YOUTUBE CHANNEL,https://fandemic.co/kpopx-fitness-official-youtube-channel,15705,772438,,,kpopxfitness@gmail.com
PARTY FITNESS & DANCE TRAINING,https://fandemic.co/party-fitness-&-dance-training,12771,3629410,,,
Um Diario Fitness,https://fandemic.co/um-diario-fitness,20270,592501,http://www.facebook.com/umdiariofitness,http://www.instagram.com/umdiariofitness,umdiariofitness@gmail.com
Angel Fitness,https://fandemic.co/angel-fitness,33188,4535882,,,
Runtastic Fitness,https://fandemic.co/runtastic-fitness,94360,4104032,http://facebook.com/runtastic,http://instagram.com/runtastic,engagement@runtastic.com
Zac Smith Fitness,https://fandemic.co/zac-smith-fitness,34636,1277109,,,zac@zacsmithfitness.com
Anthony Kruijver Fitness,https://fandemic.co/anthony-kruijver-fitness,12347,833964,https://www.facebook.com/anthonykruijverfitness,https://instagram.com/anthonykruijverfitness,anthonykruijverfitness@gmail.com
GoKo Fitness,https://fandemic.co/goko-fitness,31793,3028691,https://www.facebook.com/gokofitness,https://instagram.com/goko_fitness,gokofitness@gmail.com
